cp6 analysis: Full codebase (cesm_release)
Files scanned: 3553

===========================================================================
FILE PATH                                                         | COUNT
---------------------------------------------------------------------------
...ease/components/cam/src/physics/rrtmg/aer_src/rrtmg_lw_k_g.f90 | 211692
...ease/components/cam/src/physics/rrtmg/aer_src/rrtmg_sw_k_g.f90 | 170031
...se/components/cam/src/chemistry/modal_aero/modal_aero_coag.F90 | 4064
.../components/cam/src/physics/rrtmg/aer_src/rrtmg_lw_setcoef.f90 | 3742
...esm_release/components/cam/src/physics/waccm/nlte_fomichev.F90 | 3669
...cesm_release/components/cam/src/chemistry/mozart/mo_setaer.F90 | 3092
...nts/cam/src/chemistry/pp_trop_strat_mam4_ts2/mo_nln_matrix.F90 | 2771
...nents/cam/src/dynamics/fv3/atmos_cubed_sphere/tools/fv_eta.F90 | 2188
...ase/components/cdeps/fox/wkml/test/m_contours_test_data_sp.f90 | 2115
...release/components/cam/src/physics/cosp2/optics/optics_lib.F90 | 2004
...ents/cam/src/chemistry/pp_trop_strat_mam4_ts2/mo_prod_loss.F90 | 1557
...pm/cesm_release/components/cam/src/chemistry/utils/msise00.F90 | 1527
..._release/components/cam/src/chemistry/mozart/mo_heatnirco2.F90 | 1375
...m/src/physics/spcam/crm/MICRO_M2005/crmx_module_mp_graupel.F90 | 1172
...ponents/cam/src/chemistry/pp_trop_strat_mam4_ts2/mo_setrxt.F90 | 1077
...ianpm/cesm_release/cime/src/drivers/mct/shr/seq_drydep_mod.F90 | 1053
...anpm/cesm_release/cime/src/drivers/moab/shr/seq_drydep_mod.F90 | 1053
...k/brianpm/cesm_release/cime/src/share/nuopc/seq_drydep_mod.F90 | 1052
...s/cam/src/dynamics/fv3/atmos_cubed_sphere/tools/test_cases.F90 | 1020
...cesm_release/components/cam/src/chemistry/mozart/mo_usrrxt.F90 | 956
...nts/cam/src/chemistry/pp_trop_strat_mam4_vbs/mo_nln_matrix.F90 | 912
.../cam/src/chemistry/pp_trop_strat_mam4_vbsext/mo_nln_matrix.F90 | 862
...onents/cam/src/chemistry/pp_waccm_tsmlt_mam4/mo_nln_matrix.F90 | 854
...m_release/components/cam/src/ionosphere/waccmx/edyn_mudcom.F90 | 830
.../cam/src/dynamics/fv3/atmos_cubed_sphere/tools/external_ic.F90 | 801
...components/cam/src/chemistry/pp_waccm_tsmlt_mam4/mo_setrxt.F90 | 723
...ponents/cam/src/chemistry/pp_trop_strat_mam4_vbs/mo_setrxt.F90 | 685
...ents/cam/src/chemistry/pp_trop_strat_mam4_vbsext/mo_setrxt.F90 | 668
...onents/cam/src/chemistry/pp_trop_strat_mam4_ts2/mo_sim_dat.F90 | 628
...e/components/cam/src/physics/cosp2/optics/quickbeam_optics.F90 | 614
...ents/cam/src/chemistry/pp_trop_strat_mam4_vbs/mo_prod_loss.F90 | 534
...rianpm/cesm_release/components/cam/src/physics/camrt/radae.F90 | 528
...e/components/cam/src/chemistry/pp_waccm_mad_mam4/mo_setrxt.F90 | 514
...s/cam/src/chemistry/pp_trop_strat_mam4_vbsext/mo_prod_loss.F90 | 509
...nts/cam/src/chemistry/pp_trop_strat_mam4_vbsext/mo_sim_dat.F90 | 507
...ponents/cam/src/chemistry/pp_waccm_tsmlt_mam4/mo_prod_loss.F90 | 505
...elease/components/cam/src/chemistry/pp_waccm_mad/mo_setrxt.F90 | 487
.../work/brianpm/cesm_release/cime/src/share/util/shr_orb_mod.F90 | 479
...rk/brianpm/cesm_release/components/cdeps/share/shr_orb_mod.F90 | 479
...release/components/cam/src/physics/carma/base/adgaquad_mod.F90 | 475
...anpm/cesm_release/components/cice/src/source/ice_shortwave.F90 | 474
...npm/cesm_release/components/cice/src/csm_share/shr_orb_mod.F90 | 473
...omponents/cam/src/chemistry/pp_waccm_tsmlt_mam4/mo_sim_dat.F90 | 457
...onents/cam/src/dynamics/fv3/microphys/gfdl_cloud_microphys.F90 | 457
...m/cesm_release/components/cdeps/fox/common/test/test_input.f90 | 443
...onents/cam/src/chemistry/pp_trop_strat_mam4_vbs/mo_sim_dat.F90 | 439
...se/components/clm/src/biogeophys/UrbBuildTempOleson2015Mod.F90 | 432
.../cesm_release/components/cam/src/physics/pumas/micro_mg1_0.F90 | 412
.../components/cam/src/chemistry/modal_aero/modal_aero_newnuc.F90 | 399
.../components/cam/src/chemistry/pp_trop_mozart/mo_nln_matrix.F90 | 394
...se/components/cam/src/chemistry/pp_waccm_ma_mam4/mo_setrxt.F90 | 394
...lease/components/cam/src/physics/cosp2/src/src/cosp_config.F90 | 390
...m/src/dynamics/fv3/atmos_cubed_sphere/tools/fv_diagnostics.F90 | 381
...release/components/cam/src/chemistry/pp_waccm_ma/mo_setrxt.F90 | 367
...m/cesm_release/components/cam/src/chemistry/mozart/mo_schu.F90 | 349
...brianpm/cesm_release/components/cam/src/physics/cam/unicon.F90 | 337
...anpm/cesm_release/components/cam/tools/icesst/bcgen/solver.f90 | 333
...work/brianpm/cesm_release/cime/src/share/util/shr_flux_mod.F90 | 318
.../components/cam/src/chemistry/pp_waccm_ma_sulfur/mo_setrxt.F90 | 302
.../components/cam/src/chemistry/utils/modal_aero_wateruptake.F90 | 284
...sm_release/components/clm/src/biogeophys/PhotosynthesisMod.F90 | 274
...esm_release/components/cam/src/physics/cam/zm_microphysics.F90 | 267
...release/components/cam/src/physics/pumas/micro_pumas_utils.F90 | 263
...e/work/brianpm/cesm_release/components/cam/src/utils/sgexx.F90 | 261
...ease/components/cam/src/chemistry/pp_trop_mozart/mo_setrxt.F90 | 253
...e/components/cam/src/chemistry/pp_trop_mozart/mo_prod_loss.F90 | 249
...m_release/components/cam/src/physics/carma/base/setupckern.F90 | 245
...se/components/cam/src/physics/spcam/ecpp/module_data_radm2.F90 | 245
.../work/brianpm/cesm_release/components/pop/source/state_mod.F90 | 245
...esm_release/components/cam/src/chemistry/mozart/ocean_emis.F90 | 240
.../components/cam/src/physics/rrtmg/aer_src/rrtmg_sw_setcoef.f90 | 240
...mponents/cism/source_cism/libglissade/glissade_velo_higher.F90 | 240
...anpm/cesm_release/components/cam/src/physics/waccm/iondrag.F90 | 239
.../components/cam/src/chemistry/pp_waccm_mad_mam4/mo_sim_dat.F90 | 233
...nts/cam/src/dynamics/fv3/atmos_cubed_sphere/tools/fv_nudge.F90 | 225
...elease/components/cam/src/physics/carma/base/sulfate_utils.F90 | 224
...e/components/cam/src/physics/spcam/ecpp/module_ecpp_td2clm.F90 | 223
...m/cesm_release/components/cam/src/physics/clubb/saturation.F90 | 214
...components/cam/src/physics/spcam/crm/CLUBB/crmx_saturation.F90 | 213
...brianpm/cesm_release/components/clm/src/biogeophys/LunaMod.F90 | 205
...ents/cam/src/dynamics/fv3/atmos_cubed_sphere/model/fv_mapz.F90 | 202
...lease/components/pop/externals/MARBL/src/marbl_co2calc_mod.F90 | 199
...k/brianpm/cesm_release/components/pop/source/sw_absorption.F90 | 198
...lease/components/cam/src/chemistry/pp_waccm_mad/mo_sim_dat.F90 | 197
...e/components/cam/src/physics/rrtmg/aer_src/rrtmg_lw_taumol.f90 | 195
...de/work/brianpm/cesm_release/components/pop/source/co2calc.F90 | 195
...ianpm/cesm_release/components/cam/src/physics/cam/cldfrc2m.F90 | 194
...m_release/components/cam/src/chemistry/mozart/mo_xsections.F90 | 193
...ents/cam/src/dynamics/fv3/atmos_cubed_sphere/model/sw_core.F90 | 192
...e/components/cam/src/chemistry/pp_waccm_ma_mam4/mo_sim_dat.F90 | 190
...rianpm/cesm_release/components/cam/src/physics/cam/gw_drag.F90 | 185
...pm/cesm_release/components/cam/src/chemistry/mozart/mo_sad.F90 | 184
...mponents/cam/src/chemistry/pp_waccm_mad_mam4/mo_nln_matrix.F90 | 183
...ng/Gen_Data/Gen_Data_SEdycore/Gen_Data_SETNAME_ne30/MAKEIC.f90 | 183
...ase/components/cam/src/chemistry/pp_trop_mozart/mo_sim_dat.F90 | 182
...se/components/cam/src/chemistry/pp_waccm_mad/mo_nln_matrix.F90 | 179
...ents/cam/src/physics/carma/models/sea_salt/carma_model_mod.F90 | 179
...src/physics/cosp2/src/src/simulator/actsim/lidar_simulator.F90 | 172
...ork/brianpm/cesm_release/components/pop/source/geoheatflux.F90 | 172
...s/cam/src/physics/carma/models/cirrus_dust/carma_model_mod.F90 | 170
...ianpm/cesm_release/components/cam/src/chemistry/utils/apex.F90 | 168
...cesm_release/components/cam/src/chemistry/mozart/mo_jshort.F90 | 167
...nts/cam/src/chemistry/pp_trop_strat_mam4_ts2/mo_lin_matrix.F90 | 167
...cesm_release/components/cam/src/chemistry/mozart/mo_drydep.F90 | 166
...omponents/cism/source_cism/libglissade/glissade_bmlt_float.F90 | 165
...esm_release/components/clm/src/biogeophys/SurfaceAlbedoMod.F90 | 158
...m_release/components/cam/src/chemistry/bulk_aero/mo_setsoa.F90 | 157
...rianpm/cesm_release/components/cam/src/physics/cam/zm_conv.F90 | 155
...elease/components/cam/src/chemistry/mozart/mo_strato_rates.F90 | 154
...elease/components/cam/src/chemistry/pp_waccm_ma/mo_sim_dat.F90 | 154
.../cesm_release/components/cam/src/physics/pumas/micro_mg3_0.F90 | 152
.../cesm_release/components/cam/src/physics/cam/pkg_cldoptics.F90 | 151
