base_file,comp_file,variable,max_diff,mean_diff,percent_diff
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4_tmp.nc,uncalipso_notopaque,5.9604645e-08,7.702253e-10,9.372322e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4_tmp.nc,clrcalipso_notopaque,5.9604645e-08,2.3221071e-08,5.2450105e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4_tmp.nc,calipsoopacity,5.9604645e-08,5.688753e-09,9.259304e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4_tmp.nc,uncalipso_opaque,5.2154064e-08,5.134703e-10,9.61136e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4_tmp.nc,calipsozopaque,5.9604645e-08,9.868185e-10,9.44195e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4_tmp.nc,clcalipso_opaque,5.9604645e-08,5.3401874e-09,9.775412e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200802_avg_CFMIP2_sat_3.1.4_tmp.nc,alt_mid,9.536743e-07,1.2367964e-07,1.7675849e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200803_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200803_avg_CFMIP2_sat_3.1.4_tmp.nc,clrcalipso_opaque,5.9604645e-08,1.7794877e-08,7.847827e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200803_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200803_avg_CFMIP2_sat_3.1.4_tmp.nc,clcalipso_notopaque,5.9604645e-08,1.7708253e-09,9.296065e-06
/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/TIMEFIX/nc/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200803_avg_CFMIP2_sat_3.1.4.nc,/Volumes/Drudonna/GOCCP/GOCCP_V3.1.4/REORG3/tmp/3D_CloudFraction_OPAQ330m/avg/3D_CloudFraction_OPAQ330m_200803_avg_CFMIP2_sat_3.1.4_tmp.nc,uncalipso_notopaque,5.9604645e-08,7.704243e-10,9.3241215e-06
